时间,商品名称,库存变化,单笔销量
2026-04-08 11:00:04,台湾地址,初始销量: -21,21
2026-04-08 11:00:04,国际地址,初始库存: 10000,0
2026-04-08 15:31:26,台湾地址,-21 -> -24,3
2026-04-08 20:22:08,台湾地址,-24 -> -25,1
2026-04-09 03:07:17,台湾地址,-25 -> -23,-2
2026-04-09 03:34:37,台湾地址,-23 -> -26,3
2026-04-09 19:03:25,台湾地址,-26 -> -36,10
2026-04-09 19:09:17,台湾地址,-36 -> -46,10
2026-04-10 03:03:28,台湾地址,-46 -> -45,-1
2026-04-10 11:14:34,台湾地址,-45 -> -48,3
2026-04-10 21:24:52,台湾地址,-48 -> -52,4
2026-04-10 23:39:52,台湾地址,-52 -> -53,1
2026-04-11 02:54:57,台湾地址,-53 -> -43,-10
2026-04-11 03:04:59,台湾地址,-43 -> -44,1
2026-04-11 22:44:22,台湾地址,-44 -> -45,1
2026-04-11 23:31:53,台湾地址,-45 -> -49,4
